Cell ID,Plate name,Brain area,Sample name,Reverse transcription date,Reverse transcription thermal block,TSO freeze thaw cycles,Pre PCR delay days,cDNA ampure beads purification date,cDNA concentration measurement date,Library prep date,Library PCR thermal block,Index kit used,Pool name,Type
X105D12_S188,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105D1_S100,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105D2_S108,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105D3_S116,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105D4_S124,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105D6_S140,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST1
X105D7_S148,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105D8_S156,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105E12_S189,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST1
X105E1_S101,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105E3_S117,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105E5_S133,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105E7_S149,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105E8_S157,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105E9_S165,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105F10_S174,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105F11_S182,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST1
X105F1_S102,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105F4_S126,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105F7_S150,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105F8_S158,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105F9_S166,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105G10_S175,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105G11_S183,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105G2_S111,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105G3_S119,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105G4_S127,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST1
X105G5_S135,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,Mural
X105G6_S143,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST1
X105G8_S159,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105G9_S167,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105H10_S176,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105H11_S184,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST1
X105H2_S112,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST3
X105H6_S144,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105H7_S152,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X105H8_S160,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,(none)
X105H9_S168,105,Cortex,1C,12.10.2016-2,2,0,1,19.10.2016,10.11.2016,24.11.2016-5,1,D,B,AST2
X115A10_S265,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115A11_S273,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115A12_S281,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115A1_S193,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115A2_S201,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115A3_S209,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115A4_S217,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,(none)
X115A5_S225,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115A6_S233,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115A7_S241,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X115A8_S249,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115B10_S266,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115B11_S274,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115B12_S282,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115B1_S194,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115B3_S210,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115B4_S218,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115B5_S226,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,Endothelial
X115B7_S242,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115B8_S250,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115B9_S258,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115C10_S267,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115C11_S275,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115C12_S283,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115C1_S195,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST5
X115C2_S203,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115C4_S219,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115C5_S227,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115C6_S235,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115C7_S243,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115C8_S251,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115C9_S259,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115D11_S276,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X115D12_S284,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115D1_S196,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115D2_S204,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115D3_S212,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115D4_S220,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X115D5_S228,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115D6_S236,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,Mural
X115D7_S244,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115E10_S269,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115E11_S277,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115E12_S285,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115E1_S197,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X115E2_S205,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115E3_S213,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115E4_S221,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115E5_S229,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,Mural
X115E7_S245,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115E9_S261,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115F10_S270,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115F11_S278,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115F1_S198,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115F2_S206,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115F3_S214,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115F4_S222,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115F5_S230,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115F6_S238,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115F7_S246,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115F8_S254,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115F9_S262,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115G2_S207,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115G3_S215,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X115G4_S223,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115G5_S231,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115G8_S255,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115G9_S263,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST5
X115H10_S272,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115H11_S280,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115H1_S200,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115H2_S208,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X115H3_S216,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST2
X115H4_S224,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X115H5_S232,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST3
X115H8_S256,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST5
X115H9_S264,115,Cortex,2C,17.10.2016,3,1,0,26.10.2016,9.11.2016,23.11.2016-4,1,C,A,AST1
X118A10_S169,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118A11_S177,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118A1_S97,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST4
X118A3_S113,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118A4_S121,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118A5_S129,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118A6_S137,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118A7_S145,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118A8_S153,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Mural
X118A9_S161,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118B1_S98,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST5
X118B2_S106,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Mural
X118B5_S130,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST4
X118B6_S138,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118B7_S146,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118C11_S179,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Endothelial
X118C3_S115,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118C4_S123,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118C6_S139,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118C7_S147,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118C8_S155,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118C9_S163,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118D10_S172,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118D2_S108,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST4
X118D3_S116,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Mural
X118D4_S124,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118D5_S132,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118D6_S140,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118D7_S148,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118D8_S156,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118D9_S164,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118E12_S189,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118E1_S101,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118E2_S109,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118E3_S117,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118E4_S125,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118E5_S133,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118E6_S141,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118E7_S149,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Neuronal
X118F1_S102,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST4
X118F2_S110,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118F3_S118,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118F6_S142,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Mural
X118F7_S150,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118F8_S158,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Endothelial
X118F9_S166,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118G10_S175,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118G11_S183,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118G1_S103,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Neuronal
X118G3_S119,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118G7_S151,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118G8_S159,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118G9_S167,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST3
X118H10_S176,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118H1_S104,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST4
X118H2_S112,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST1
X118H3_S120,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST4
X118H5_S136,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST2
X118H6_S144,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,Oligodendrocytic
X118H7_S152,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST2
X118H8_S160,118,Hippocampus,2H,17.10.2016,1,1,0,24.10.2016,16.11.2016,25.11.2016,2,D,C,AST2
X125A1_S193,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST2
X125A2_S201,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST3
X125A3_S209,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST2
X125A4_S217,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST2
X125A5_S225,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST2
X125A6_S233,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST3
X125A8_S249,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST2
X125A9_S257,125,Cortex,2C,14.10.2016,1,0,0,27.10.2016,10.11.2016,22.11.2016,1,A,F,AST2
